 		Tracking Time
Seq #	median		mean
00	0.0564977	0.0590151
01	0.0733318	0.0742951
02	0.0560224	0.0585492
03	0.0571916	0.0578826
04	0.0632376	0.0626079
05	0.0579876	0.0597458
06	0.0610289	0.0629413
07	0.055748	0.0566997
08	0.0574791	0.0582893
09	0.0568184	0.0574238
10	0.053648	0.0542119
----------------------------------------
avg	0.0571916	0.0601511
