 		Average Relative Error
Seq #	t_rel (%)	r_rel (deg/100m)
01	1.409173	0.200686
03	0.734705	0.212742
04	0.505743	0.280702
05	0.383680	0.152923
06	0.445064	0.141537
07	0.480283	0.277707
08	1.017250	0.316380
09	0.849631	0.294567
10	0.617879	0.280139
----------------------------------------
avg	0.787966	0.246957
