 		Average Relative Error
Seq #	t_rel (%)	r_rel (deg/100m)
01	1.427742	0.205636
03	0.703676	0.177901
04	0.488104	0.158447
05	0.389869	0.157146
06	0.520740	0.208694
07	0.497166	0.285872
08	1.012836	0.293476
09	0.775795	0.259772
10	0.595262	0.290372
----------------------------------------
avg	0.784404	0.240210
