 		Average Relative Error
Seq #	t_rel (%)	r_rel (deg/100m)
01	1.362868	0.218596
03	0.724443	0.189098
04	0.485271	0.197573
05	0.385469	0.157466
06	0.461058	0.147756
07	0.486987	0.288115
08	1.037779	0.308078
09	0.822249	0.227121
10	0.566024	0.289421
----------------------------------------
avg	0.786416	0.238730
