 		Tracking Time
Seq #	median		mean
00	0.0559673	0.0585704
01	0.0712096	0.0737908
02	0.0563623	0.0590494
03	0.0560546	0.0573161
04	0.0622922	0.0623046
05	0.0580429	0.0597454
06	0.0612465	0.0635181
07	0.0553766	0.0562385
08	0.0567279	0.0577872
09	0.0561983	0.0570301
10	0.0535804	0.0542409
----------------------------------------
avg	0.0563623	0.0599629
