 		Tracking Time
Seq #	median		mean
01	0.2015812	0.2072469
03	0.1752679	0.1770621
04	0.1936233	0.1945291
05	0.1882219	0.1906020
06	0.1894755	0.1947164
07	0.1818020	0.1828254
08	0.1889617	0.1905247
09	0.1843319	0.1866242
10	0.1778321	0.1793055
----------------------------------------
avg	0.1882219	0.1892707
