 		Average Relative Error
Seq #	t_rel (%)	r_rel (deg/100m)
01	1.369215	0.257040
03	0.724441	0.215437
04	0.529288	0.190650
05	0.380832	0.156061
06	0.529292	0.194299
07	0.450743	0.264989
08	1.009196	0.298222
09	0.868973	0.263804
10	0.613019	0.314832
----------------------------------------
avg	0.787868	0.247210
