 		Tracking Time
Seq #	median		mean
01	0.2032909	0.2059622
03	0.1743171	0.1760461
04	0.1931274	0.1940166
05	0.1880789	0.1902512
06	0.1898346	0.1961472
07	0.1810780	0.1834008
08	0.1890547	0.1910038
09	0.1853380	0.1873422
10	0.1775694	0.1791268
----------------------------------------
avg	0.1880789	0.1892552
