 		Average Relative Error
Seq #	t_rel (%)	r_rel (deg/100m)
01	1.386846	0.236864
03	0.714473	0.165807
04	0.443076	0.215063
05	0.418507	0.159291
06	0.451284	0.152155
07	0.516774	0.287684
08	1.042333	0.319631
09	0.862546	0.243592
10	0.580296	0.276984
----------------------------------------
avg	0.803544	0.246007
