 		Average Relative Error
Seq #	t_rel (%)	r_rel (deg/100m)
01	1.402818	0.231366
03	0.807430	0.213315
04	0.460460	0.154678
05	0.395460	0.151282
06	0.456899	0.150013
07	0.491925	0.284536
08	1.041320	0.313260
09	0.878361	0.264542
10	0.571434	0.273778
----------------------------------------
avg	0.802336	0.244272
