 		Tracking Time
Seq #	median		mean
01	0.2021265	0.2090507
03	0.1738131	0.1755101
04	0.1934228	0.1942181
05	0.1896257	0.1922759
06	0.1892087	0.1950606
07	0.1803718	0.1825574
08	0.1903114	0.1920144
09	0.1830263	0.1850057
10	0.1758587	0.1774391
----------------------------------------
avg	0.1892087	0.1892369
