 		Average Relative Error
Seq #	t_rel (%)	r_rel (deg/100m)
01	1.437567	0.223155
03	0.758055	0.207754
04	0.486288	0.263870
05	0.383807	0.155048
06	0.472556	0.150608
07	0.486633	0.269418
08	0.986650	0.307052
09	0.864967	0.257094
10	0.586151	0.284717
----------------------------------------
avg	0.782151	0.241838
