 		Tracking Time
Seq #	median		mean
01	0.2030201	0.2081047
03	0.1730514	0.1746770
04	0.1938722	0.1940795
05	0.1875663	0.1900521
06	0.1886086	0.1944889
07	0.1817675	0.1832246
08	0.1876841	0.1892987
09	0.1833072	0.1855974
10	0.1759214	0.1779656
----------------------------------------
avg	0.1875663	0.1886098
