 		Tracking Time
Seq #	median		mean
00	0.0560686	0.0585777
01	0.0734424	0.0750698
02	0.0562872	0.0589673
03	0.0560477	0.0569523
04	0.0627813	0.0623939
05	0.0579754	0.059609
06	0.061211	0.0635713
07	0.0550612	0.0561016
08	0.0567086	0.0576084
09	0.0561972	0.0568548
10	0.0536316	0.0541765
----------------------------------------
avg	0.0562872	0.0599893
