 		Average Relative Error
Seq #	t_rel (%)	r_rel (deg/100m)
01	1.392325	0.229500
03	0.792588	0.221017
04	0.481338	0.209421
05	0.393022	0.157846
06	0.440266	0.143166
07	0.477671	0.266490
08	1.070819	0.331855
09	0.860830	0.265153
10	0.620987	0.280885
----------------------------------------
avg	0.810234	0.252052
