 		Average Relative Error
Seq #	t_rel (%)	r_rel (deg/100m)
01	1.405347	0.221601
03	0.760637	0.185159
04	0.474754	0.229376
05	0.406736	0.159931
06	0.523761	0.200782
07	0.525395	0.298919
08	1.011187	0.297486
09	0.822999	0.284372
10	0.607865	0.276736
----------------------------------------
avg	0.794917	0.246384
