 		Tracking Time
Seq #	median		mean
00	0.0563302	0.0587749
01	0.0722	0.0739672
02	0.0563527	0.0585652
03	0.0557511	0.0566986
04	0.0630866	0.0626154
05	0.0581273	0.0599304
06	0.0613568	0.0634661
07	0.0549683	0.0561836
08	0.0567734	0.057797
09	0.0562736	0.0570352
10	0.0535639	0.054134
----------------------------------------
avg	0.0563527	0.0599243
