 		Tracking Time
Seq #	median		mean
00	0.056303	0.0586162
01	0.0729301	0.0735966
02	0.0563294	0.0585958
03	0.0561921	0.057198
04	0.0632285	0.0631841
05	0.0577899	0.0596951
06	0.0603599	0.0622909
07	0.0555132	0.0567506
08	0.0569248	0.0579574
09	0.0566714	0.0571015
10	0.0535662	0.0542176
----------------------------------------
avg	0.0566714	0.0599276
