 		Average Relative Error
Seq #	t_rel (%)	r_rel (deg/100m)
01	1.380383	0.230175
03	0.744765	0.239070
04	0.410824	0.246495
05	0.403663	0.158418
06	0.515519	0.235196
07	0.508688	0.271354
08	1.050105	0.316378
09	0.805924	0.261014
10	0.572664	0.282585
----------------------------------------
avg	0.799859	0.253801
