 		Tracking Time
Seq #	median		mean
01	0.2014670	0.2091326
03	0.1763265	0.1772508
04	0.1920257	0.1934142
05	0.1881170	0.1907451
06	0.1871557	0.1933017
07	0.1808975	0.1829579
08	0.1879430	0.1894061
09	0.1838121	0.1863816
10	0.1773150	0.1785157
----------------------------------------
avg	0.1871557	0.1890117
