 		Average Relative Error
Seq #	t_rel (%)	r_rel (deg/100m)
01	1.545226	0.251017
03	0.741645	0.210411
04	0.505989	0.243526
05	0.377878	0.155676
06	0.547697	0.185867
07	0.528272	0.283835
08	1.036434	0.311966
09	0.805249	0.241508
10	0.593205	0.274066
----------------------------------------
avg	0.807950	0.246716
