 		Average Relative Error
Seq #	t_rel (%)	r_rel (deg/100m)
01	1.443504	0.200337
03	0.713024	0.177693
04	0.530462	0.181024
05	0.403473	0.166088
06	0.465409	0.164519
07	0.500270	0.283800
08	1.035502	0.313593
09	0.806432	0.249348
10	0.595130	0.257745
----------------------------------------
avg	0.797334	0.242652
