 		Tracking Time
Seq #	median		mean
01	0.2008643	0.2043889
03	0.1739545	0.1753152
04	0.1912167	0.1928740
05	0.1884048	0.1906512
06	0.1895199	0.1953960
07	0.1802351	0.1817219
08	0.1880066	0.1900806
09	0.1842289	0.1861045
10	0.1761196	0.1771168
----------------------------------------
avg	0.1880066	0.1881832
