 		Tracking Time
Seq #	median		mean
01	0.1999171	0.2040291
03	0.1738660	0.1755123
04	0.1931434	0.1938516
05	0.1880789	0.1906016
06	0.1885731	0.1932513
07	0.1821055	0.1834992
08	0.1883526	0.1900531
09	0.1832104	0.1858748
10	0.1768758	0.1785245
----------------------------------------
avg	0.1880789	0.1883553
