 		Average Relative Error
Seq #	t_rel (%)	r_rel (deg/100m)
01	1.351783	0.243862
03	0.727961	0.219971
04	0.412047	0.229694
05	0.400181	0.151669
06	0.486307	0.189858
07	0.484863	0.266713
08	1.072087	0.324498
09	0.829312	0.241566
10	0.573155	0.270052
----------------------------------------
avg	0.803894	0.249192
