 		Average Relative Error
Seq #	t_rel (%)	r_rel (deg/100m)
01	1.363649	0.243021
03	0.767322	0.202060
04	0.513621	0.184559
05	0.385501	0.157491
06	0.485054	0.161828
07	0.497381	0.272818
08	1.041340	0.312450
09	0.812283	0.231484
10	0.590627	0.275195
----------------------------------------
avg	0.791339	0.242743
