 		Tracking Time
Seq #	median		mean
01	0.2023711	0.2092928
03	0.1735044	0.1749959
04	0.1922824	0.1936963
05	0.1890569	0.1913255
06	0.1895504	0.1934514
07	0.1808376	0.1826504
08	0.1878390	0.1891845
09	0.1836908	0.1861160
10	0.1764367	0.1779114
----------------------------------------
avg	0.1878390	0.1887360
