 		Average Relative Error
Seq #	t_rel (%)	r_rel (deg/100m)
01	1.442824	0.205666
03	0.788623	0.192812
04	0.464252	0.201614
05	0.381106	0.155907
06	0.479079	0.171061
07	0.500205	0.287130
08	1.030042	0.310873
09	0.917293	0.259033
10	0.647572	0.318783
----------------------------------------
avg	0.809231	0.245668
