 		Average Relative Error
Seq #	t_rel (%)	r_rel (deg/100m)
01	1.371729	0.220620
03	0.773845	0.188767
04	0.426047	0.200261
05	0.392542	0.162335
06	0.478931	0.176092
07	0.507672	0.301606
08	1.041757	0.325543
09	0.856748	0.267879
10	0.633078	0.292037
----------------------------------------
avg	0.801408	0.254058
