 		Tracking Time
Seq #	median		mean
00	0.0563224	0.058854
01	0.0737556	0.0762702
02	0.0565601	0.058936
03	0.0557943	0.0571244
04	0.0633377	0.06304
05	0.0583346	0.0601491
06	0.060605	0.0625911
07	0.0551349	0.0561244
08	0.0567856	0.0577894
09	0.0565844	0.057397
10	0.0539811	0.0545208
----------------------------------------
avg	0.0565844	0.0602542
