 		Average Relative Error
Seq #	t_rel (%)	r_rel (deg/100m)
01	1.376913	0.237190
03	0.761002	0.191032
04	0.450638	0.220846
05	0.414404	0.166480
06	0.447569	0.142470
07	0.544860	0.304160
08	1.047805	0.325631
09	0.826659	0.251828
10	0.587104	0.239600
----------------------------------------
avg	0.801721	0.249228
