 		Tracking Time
Seq #	median		mean
00	0.0569725	0.0596549
01	0.0734985	0.0758384
02	0.0569994	0.0591417
03	0.0565879	0.0577984
04	0.0651100	0.0642542
05	0.0588250	0.0605636
06	0.0618320	0.0640774
07	0.0563679	0.0570959
08	0.0580347	0.0591526
09	0.0573745	0.0580164
10	0.0544012	0.0549132
----------------------------------------
avg	0.0573745	0.0609552
