 		Tracking Time
Seq #	median		mean
00	0.0562205	0.0587522
01	0.0718233	0.0736307
02	0.05644	0.058798
03	0.0562043	0.0572504
04	0.0633315	0.0628858
05	0.0578021	0.0594467
06	0.0606421	0.0632648
07	0.055432	0.0563417
08	0.0568751	0.0579373
09	0.0561982	0.056937
10	0.0535085	0.053975
----------------------------------------
avg	0.0564400	0.0599291
