 		Average Relative Error
Seq #	t_rel (%)	r_rel (deg/100m)
01	1.386804	0.210293
03	0.773276	0.200699
04	0.485146	0.197484
05	0.382943	0.157047
06	0.489433	0.184424
07	0.491144	0.277712
08	1.051032	0.318507
09	0.887402	0.254580
10	0.600623	0.282246
----------------------------------------
avg	0.806060	0.247117
