 		Tracking Time
Seq #	median		mean
00	0.0557463	0.0584128
01	0.0723262	0.0743522
02	0.0563237	0.0587925
03	0.056105	0.0568936
04	0.0628301	0.0627651
05	0.0589388	0.060401
06	0.0631459	0.0666771
07	0.0574987	0.0591772
08	0.0597945	0.0612198
09	0.0580364	0.0598803
10	0.0543085	0.0548066
----------------------------------------
avg	0.0580364	0.0612162
