 		Average Relative Error
Seq #	t_rel (%)	r_rel (deg/100m)
01	1.398157	0.187827
03	0.720099	0.213415
04	0.453531	0.238611
05	0.386959	0.152608
06	0.444053	0.133959
07	0.512062	0.310473
08	1.024328	0.313319
09	0.871516	0.294899
10	0.591395	0.294366
----------------------------------------
avg	0.792005	0.246118
