 		Tracking time
Seq #	median		mean
00	0.0570225	0.0595082
01	0.0724014	0.0753564
02	0.0569553	0.0594129
03	0.055631	0.0568708
04	0.0631167	0.0625623
05	0.0588619	0.0603431
06	0.0616467	0.0644213
07	0.0562395	0.0571458
08	0.0581902	0.0590105
09	0.0579233	0.0581441
10	0.0548854	0.0553194
----------------------------------------
avg	0.0579233	0.0607359
