 		Average Relative Error
Seq #	t_rel (%)	r_rel (deg/100m)
01	1.357286	0.232367
03	0.761084	0.198421
04	0.452472	0.218957
05	0.397893	0.154605
06	0.493961	0.183253
07	0.500744	0.259718
08	1.036845	0.320502
09	0.854487	0.252505
10	0.640121	0.297743
----------------------------------------
avg	0.800430	0.249091
