 		Tracking Time
Seq #	median		mean
00	0.0560289	0.0584847
01	0.0709147	0.0735312
02	0.0564658	0.0586882
03	0.0559194	0.0570597
04	0.062798	0.0629477
05	0.0578044	0.0593735
06	0.0608813	0.063476
07	0.0549715	0.0559907
08	0.0565026	0.0575577
09	0.0564286	0.0570681
10	0.0534588	0.0538601
----------------------------------------
avg	0.0564658	0.0598216
