 		Average Relative Error
Seq #	t_rel (%)	r_rel (deg/100m)
01	1.482122	0.294880
03	0.756699	0.208808
04	0.462150	0.270251
05	0.391891	0.159393
06	0.565681	0.261739
07	0.542194	0.314363
08	1.036302	0.315073
09	0.842296	0.234312
10	0.623632	0.285378
----------------------------------------
avg	0.814007	0.259133
