 		Tracking Time
Seq #	median		mean
01	0.2005420	0.2040476
03	0.1731412	0.1749009
04	0.1932893	0.1942984
05	0.1880300	0.1904796
06	0.1877308	0.1912063
07	0.1810770	0.1828788
08	0.1885502	0.1900390
09	0.1847658	0.1865516
10	0.1761036	0.1773826
----------------------------------------
avg	0.1877308	0.1879761
